project,precinct,building,base_surf,surf_type,surf_id,surf_area,surf_irr,surf_cx,surf_cy,surf_cz,surf_nx,surf_ny,surf_nz
jl-bahagia,prc-00,blk-27,roof-01,PV-module,1,2.58438,1634.79,107.440885,-40.504541,-56.827403,0.11268,0.144087,0.983129
jl-bahagia,prc-00,blk-27,roof-01,PV-module,2,2.58439,1634.75,106.544752,-39.809648,-56.826541,0.112679,0.144087,0.983129
jl-bahagia,prc-00,blk-27,roof-01,PV-module,3,2.58439,1639.85,105.648611,-39.114751,-56.825675,0.112682,0.144085,0.983129
jl-bahagia,prc-00,blk-27,roof-01,PV-module,4,2.584385,1639.82,104.752462,-38.419854,-56.824805,0.112679,0.144087,0.983129
jl-bahagia,prc-00,blk-27,roof-01,PV-module,5,2.58439,1639.79,103.856313,-37.724961,-56.823939,0.112679,0.144087,0.983129
jl-bahagia,prc-00,blk-27,roof-01,PV-module,6,2.58438,1638.23,102.960172,-37.030065,-56.82307,0.11268,0.144087,0.983129
jl-bahagia,prc-00,blk-27,roof-01,PV-module,7,2.58439,1639.88,102.064024,-36.335168,-56.822208,0.112679,0.144088,0.983129
jl-bahagia,prc-00,blk-27,roof-01,PV-module,8,2.584376,1639.85,101.167875,-35.640275,-56.821342,0.112682,0.144085,0.983129
jl-bahagia,prc-00,blk-27,roof-01,PV-module,9,2.584394,1639.82,100.271741,-34.945378,-56.820472,0.112679,0.144087,0.983129
jl-bahagia,prc-00,blk-27,roof-01,PV-module,10,2.58438,1639.79,99.3756,-34.250482,-56.819606,0.11268,0.144087,0.983129
jl-bahagia,prc-00,blk-27,roof-01,PV-module,11,2.584389,1637.28,98.479452,-33.555589,-56.818736,0.112679,0.144088,0.983129
jl-bahagia,prc-00,blk-27,roof-01,PV-module,12,2.584378,1639.88,97.583303,-32.860692,-56.817874,0.11268,0.144087,0.983129
jl-bahagia,prc-00,blk-27,roof-01,PV-module,13,2.584393,1639.84,96.687162,-32.165795,-56.817008,0.112682,0.144085,0.983129
jl-bahagia,prc-00,blk-27,roof-01,PV-module,14,2.584377,1639.81,95.791013,-31.470897,-56.816138,0.11268,0.144087,0.983129
jl-bahagia,prc-00,blk-27,roof-01,PV-module,15,2.58439,1639.78,94.894865,-30.776004,-56.815272,0.112679,0.144088,0.983129
jl-bahagia,prc-00,blk-27,roof-01,PV-module,16,2.584378,1625.23,93.998716,-30.081109,-56.814403,0.112679,0.144087,0.983129
jl-bahagia,prc-00,blk-27,roof-01,roof,0,81.306641,0.0,100.731291,-35.212884,-57.179273,0.006374,0.006972,0.999955
jl-bahagia,prc-00,blk-27,roof-02,PV-module,1,2.584387,1632.37,131.233859,-54.332159,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,2,2.584396,1631.5,130.338427,-53.636343,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,3,2.584378,1631.28,129.442996,-52.940527,-58.676462,-0.10655,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,4,2.584382,1628.69,128.547564,-52.244715,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,5,2.584379,1635.78,127.652133,-51.548898,-58.676462,-0.10655,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,6,2.584387,1637.73,126.756701,-50.853082,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,7,2.584387,1630.7,125.86127,-50.157266,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,8,2.584387,1628.16,124.965838,-49.461454,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,9,2.584387,1629.12,124.070407,-48.765646,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,10,2.584388,1635.2,123.174975,-48.069822,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,11,2.584387,1634.11,122.279544,-47.374014,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,12,2.584387,1631.07,121.384112,-46.678198,-58.676462,-0.106549,-0.137116,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,13,2.584391,1626.79,120.488681,-45.982382,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,14,2.584382,1630.45,119.593241,-45.286569,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,15,2.584383,1639.78,118.697818,-44.590753,-58.676462,-0.10655,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,16,2.584378,1632.44,117.802378,-43.894937,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,17,2.584383,1629.92,116.906955,-43.199125,-58.676462,-0.10655,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,18,2.584382,1634.43,116.011515,-42.503309,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,19,2.584382,1630.85,115.116091,-41.807497,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,20,2.584392,1620.81,114.220652,-41.111681,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,21,2.584383,1615.85,113.325228,-40.415869,-58.676462,-0.106549,-0.137117,0.984808
jl-bahagia,prc-00,blk-27,roof-02,PV-module,22,2.584388,1605.43,112.429789,-39.720052,-58.676462,-0.106549,-0.137116,0.984808
