project,precinct,building,base_surf,surf_type,surf_id,surf_vid,surf_vx,surf_vy,surf_vz
jl-bahagia,prc-00,blk-27,roof-01,PV-module,1,0,106.306465,-41.042492,-56.618546
jl-bahagia,prc-00,blk-27,roof-01,PV-module,1,1,107.202606,-41.737389,-56.619411
jl-bahagia,prc-00,blk-27,roof-01,PV-module,1,2,108.575325,-39.966595,-57.03627
jl-bahagia,prc-00,blk-27,roof-01,PV-module,1,3,107.679184,-39.271698,-57.035404
jl-bahagia,prc-00,blk-27,roof-01,PV-module,2,0,105.410316,-40.347595,-56.61768
jl-bahagia,prc-00,blk-27,roof-01,PV-module,2,1,106.306465,-41.042492,-56.618546
jl-bahagia,prc-00,blk-27,roof-01,PV-module,2,2,107.679184,-39.271698,-57.035404
jl-bahagia,prc-00,blk-27,roof-01,PV-module,2,3,106.783043,-38.576801,-57.034538
jl-bahagia,prc-00,blk-27,roof-01,PV-module,3,0,104.514175,-39.652699,-56.61681
jl-bahagia,prc-00,blk-27,roof-01,PV-module,3,1,105.410316,-40.347595,-56.61768
jl-bahagia,prc-00,blk-27,roof-01,PV-module,3,2,106.783043,-38.576801,-57.034538
jl-bahagia,prc-00,blk-27,roof-01,PV-module,3,3,105.886894,-37.881905,-57.033669
jl-bahagia,prc-00,blk-27,roof-01,PV-module,4,0,103.618027,-38.957806,-56.615944
jl-bahagia,prc-00,blk-27,roof-01,PV-module,4,1,104.514175,-39.652699,-56.61681
jl-bahagia,prc-00,blk-27,roof-01,PV-module,4,2,105.886894,-37.881905,-57.033669
jl-bahagia,prc-00,blk-27,roof-01,PV-module,4,3,104.990753,-37.187012,-57.032803
jl-bahagia,prc-00,blk-27,roof-01,PV-module,5,0,102.721886,-38.262909,-56.615078
jl-bahagia,prc-00,blk-27,roof-01,PV-module,5,1,103.618027,-38.957806,-56.615944
jl-bahagia,prc-00,blk-27,roof-01,PV-module,5,2,104.990753,-37.187012,-57.032803
jl-bahagia,prc-00,blk-27,roof-01,PV-module,5,3,104.094604,-36.492115,-57.031937
jl-bahagia,prc-00,blk-27,roof-01,PV-module,6,0,101.825745,-37.568012,-56.614212
jl-bahagia,prc-00,blk-27,roof-01,PV-module,6,1,102.721886,-38.262909,-56.615078
jl-bahagia,prc-00,blk-27,roof-01,PV-module,6,2,104.094604,-36.492115,-57.031937
jl-bahagia,prc-00,blk-27,roof-01,PV-module,6,3,103.198463,-35.797218,-57.031071
jl-bahagia,prc-00,blk-27,roof-01,PV-module,7,0,100.929596,-36.873116,-56.613346
jl-bahagia,prc-00,blk-27,roof-01,PV-module,7,1,101.825745,-37.568012,-56.614212
jl-bahagia,prc-00,blk-27,roof-01,PV-module,7,2,103.198463,-35.797218,-57.031071
jl-bahagia,prc-00,blk-27,roof-01,PV-module,7,3,102.302315,-35.102325,-57.030205
jl-bahagia,prc-00,blk-27,roof-01,PV-module,8,0,100.033455,-36.178223,-56.612476
jl-bahagia,prc-00,blk-27,roof-01,PV-module,8,1,100.929596,-36.873116,-56.613346
jl-bahagia,prc-00,blk-27,roof-01,PV-module,8,2,102.302315,-35.102325,-57.030205
jl-bahagia,prc-00,blk-27,roof-01,PV-module,8,3,101.406174,-34.407429,-57.029335
jl-bahagia,prc-00,blk-27,roof-01,PV-module,9,0,99.137306,-35.483326,-56.61161
jl-bahagia,prc-00,blk-27,roof-01,PV-module,9,1,100.033455,-36.178223,-56.612476
jl-bahagia,prc-00,blk-27,roof-01,PV-module,9,2,101.406174,-34.407429,-57.029335
jl-bahagia,prc-00,blk-27,roof-01,PV-module,9,3,100.510025,-33.712532,-57.028469
jl-bahagia,prc-00,blk-27,roof-01,PV-module,10,0,98.241165,-34.788429,-56.610744
jl-bahagia,prc-00,blk-27,roof-01,PV-module,10,1,99.137306,-35.483326,-56.61161
jl-bahagia,prc-00,blk-27,roof-01,PV-module,10,2,100.510025,-33.712532,-57.028469
jl-bahagia,prc-00,blk-27,roof-01,PV-module,10,3,99.613884,-33.017635,-57.027603
jl-bahagia,prc-00,blk-27,roof-01,PV-module,11,0,97.345016,-34.093536,-56.609879
jl-bahagia,prc-00,blk-27,roof-01,PV-module,11,1,98.241165,-34.788429,-56.610744
jl-bahagia,prc-00,blk-27,roof-01,PV-module,11,2,99.613884,-33.017635,-57.027603
jl-bahagia,prc-00,blk-27,roof-01,PV-module,11,3,98.717735,-32.322742,-57.026737
jl-bahagia,prc-00,blk-27,roof-01,PV-module,12,0,96.448875,-33.39864,-56.609013
jl-bahagia,prc-00,blk-27,roof-01,PV-module,12,1,97.345016,-34.093536,-56.609879
jl-bahagia,prc-00,blk-27,roof-01,PV-module,12,2,98.717735,-32.322742,-57.026737
jl-bahagia,prc-00,blk-27,roof-01,PV-module,12,3,97.821594,-31.627848,-57.025871
jl-bahagia,prc-00,blk-27,roof-01,PV-module,13,0,95.552727,-32.703743,-56.608143
jl-bahagia,prc-00,blk-27,roof-01,PV-module,13,1,96.448875,-33.39864,-56.609013
jl-bahagia,prc-00,blk-27,roof-01,PV-module,13,2,97.821594,-31.627848,-57.025871
jl-bahagia,prc-00,blk-27,roof-01,PV-module,13,3,96.925446,-30.932951,-57.025002
jl-bahagia,prc-00,blk-27,roof-01,PV-module,14,0,94.656586,-32.008846,-56.607277
jl-bahagia,prc-00,blk-27,roof-01,PV-module,14,1,95.552727,-32.703743,-56.608143
jl-bahagia,prc-00,blk-27,roof-01,PV-module,14,2,96.925446,-30.932951,-57.025002
jl-bahagia,prc-00,blk-27,roof-01,PV-module,14,3,96.029305,-30.238056,-57.024136
jl-bahagia,prc-00,blk-27,roof-01,PV-module,15,0,93.760437,-31.313953,-56.606411
jl-bahagia,prc-00,blk-27,roof-01,PV-module,15,1,94.656586,-32.008846,-56.607277
jl-bahagia,prc-00,blk-27,roof-01,PV-module,15,2,96.029305,-30.238056,-57.024136
jl-bahagia,prc-00,blk-27,roof-01,PV-module,15,3,95.133156,-29.543159,-57.02327
jl-bahagia,prc-00,blk-27,roof-01,PV-module,16,0,92.864296,-30.619059,-56.605545
jl-bahagia,prc-00,blk-27,roof-01,PV-module,16,1,93.760437,-31.313953,-56.606411
jl-bahagia,prc-00,blk-27,roof-01,PV-module,16,2,95.133156,-29.543159,-57.02327
jl-bahagia,prc-00,blk-27,roof-01,PV-module,16,3,94.237015,-28.848265,-57.022404
jl-bahagia,prc-00,blk-27,roof-01,roof,0,0,109.504915,-39.295345,-57.20673
jl-bahagia,prc-00,blk-27,roof-01,roof,0,1,94.599736,-27.72643,-57.192391
jl-bahagia,prc-00,blk-27,roof-01,roof,0,2,91.957667,-31.130423,-57.151816
jl-bahagia,prc-00,blk-27,roof-01,roof,0,3,106.862846,-42.699338,-57.166155
jl-bahagia,prc-00,blk-27,roof-02,PV-module,1,0,132.370148,-53.793957,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,1,1,131.474716,-53.098141,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,1,2,130.09758,-54.870354,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,1,3,130.993011,-55.566166,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,2,0,131.474716,-53.098141,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,2,1,130.579269,-52.402328,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,2,2,129.202148,-54.174538,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,2,3,130.09758,-54.870354,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,3,0,130.579269,-52.402328,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,3,1,129.683838,-51.706512,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,3,2,128.306717,-53.478722,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,3,3,129.202148,-54.174538,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,4,0,129.683838,-51.706512,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,4,1,128.788406,-51.0107,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,4,2,127.411278,-52.782909,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,4,3,128.306717,-53.478722,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,5,0,128.788406,-51.0107,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,5,1,127.892982,-50.314884,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,5,2,126.515846,-52.087093,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,5,3,127.411278,-52.782909,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,6,0,127.892982,-50.314884,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,6,1,126.997551,-49.619068,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,6,2,125.620415,-51.391281,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,6,3,126.515846,-52.087093,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,7,0,126.997551,-49.619068,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,7,1,126.102119,-48.923256,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,7,2,124.724983,-50.695465,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,7,3,125.620415,-51.391281,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,8,0,126.102119,-48.923256,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,8,1,125.206688,-48.22744,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,8,2,123.829552,-49.999653,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,8,3,124.724983,-50.695465,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,9,0,125.206688,-48.22744,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,9,1,124.311256,-47.531628,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,9,2,122.93412,-49.303837,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,9,3,123.829552,-49.999653,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,10,0,124.311256,-47.531628,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,10,1,123.415825,-46.835812,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,10,2,122.038689,-48.608021,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,10,3,122.93412,-49.303837,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,11,0,123.415825,-46.835812,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,11,1,122.520393,-46.139996,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,11,2,121.143257,-47.912209,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,11,3,122.038689,-48.608021,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,12,0,122.520393,-46.139996,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,12,1,121.624962,-45.444183,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,12,2,120.247826,-47.216393,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,12,3,121.143257,-47.912209,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,13,0,121.624962,-45.444183,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,13,1,120.729523,-44.748367,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,13,2,119.352394,-46.52058,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,13,3,120.247826,-47.216393,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,14,0,120.729523,-44.748367,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,14,1,119.834091,-44.052555,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,14,2,118.456963,-45.824764,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,14,3,119.352394,-46.52058,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,15,0,119.834091,-44.052555,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,15,1,118.93866,-43.356739,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,15,2,117.561531,-45.128948,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,15,3,118.456963,-45.824764,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,16,0,118.93866,-43.356739,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,16,1,118.043228,-42.660927,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,16,2,116.6661,-44.433136,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,16,3,117.561531,-45.128948,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,17,0,118.043228,-42.660927,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,17,1,117.147797,-41.965111,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,17,2,115.770668,-43.73732,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,17,3,116.6661,-44.433136,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,18,0,117.147797,-41.965111,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,18,1,116.252365,-41.269295,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,18,2,114.875237,-43.041508,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,18,3,115.770668,-43.73732,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,19,0,116.252365,-41.269295,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,19,1,115.356934,-40.573483,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,19,2,113.979805,-42.345692,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,19,3,114.875237,-43.041508,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,20,0,115.356934,-40.573483,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,20,1,114.461502,-39.877666,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,20,2,113.084366,-41.649876,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,20,3,113.979805,-42.345692,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,21,0,114.461502,-39.877666,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,21,1,113.566071,-39.181854,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,21,2,112.188934,-40.954063,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,21,3,113.084366,-41.649876,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,22,0,113.566071,-39.181854,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,22,1,112.670639,-38.486038,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,22,2,111.293503,-40.258247,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,22,3,112.188934,-40.954063,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,23,0,94.762001,-24.56975,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,23,1,93.86657,-23.873936,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,23,2,92.489433,-25.646147,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,23,3,93.384865,-26.341961,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,24,0,93.86657,-23.873936,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,24,1,92.971138,-23.178122,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,24,2,91.594002,-24.950333,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,24,3,92.489433,-25.646147,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,25,0,92.971138,-23.178122,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,25,1,92.075706,-22.482307,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,25,2,90.69857,-24.254519,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,25,3,91.594002,-24.950333,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,26,0,92.075706,-22.482307,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,26,1,91.180275,-21.786493,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,26,2,89.803139,-23.558702,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,26,3,90.69857,-24.254519,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,27,0,91.180275,-21.786493,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,27,1,90.284843,-21.090679,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,27,2,88.907707,-22.862888,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,27,3,89.803139,-23.558702,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,28,0,90.284843,-21.090679,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,28,1,89.389412,-20.394863,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,28,2,88.012276,-22.167074,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,28,3,88.907707,-22.862888,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,29,0,89.389412,-20.394863,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,29,1,88.49398,-19.699049,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,29,2,87.116844,-21.47126,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,29,3,88.012276,-22.167074,-58.874329
jl-bahagia,prc-00,blk-27,roof-02,PV-module,30,0,88.49398,-19.699049,-58.478584
jl-bahagia,prc-00,blk-27,roof-02,PV-module,30,1,87.598549,-19.003235,-58.478584
