project,precinct,building,base_surf,surf_type,surf_id,surf_vid,surf_vx,surf_vy,surf_vz
sin_ming,prc-00,blk-00,roof-01,PV-module,1,0,18.366758,-8.012444,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,1,1,17.934294,-8.904102,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,1,2,19.671026,-9.746435,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,1,3,20.103489,-8.854776,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,2,0,21.422628,-10.59598,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,2,1,21.855093,-9.704321,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,2,2,20.118361,-8.861988,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,2,3,19.685896,-9.753647,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,3,0,17.934294,-8.904102,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,3,1,17.501829,-9.795761,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,3,2,19.238562,-10.638094,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,3,3,19.671026,-9.746435,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,4,0,20.990164,-11.487638,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,4,1,21.422628,-10.59598,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,4,2,19.685896,-9.753647,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,4,3,19.253433,-10.645306,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,5,0,17.501829,-9.795761,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,5,1,17.069366,-10.687421,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,5,2,18.806097,-11.529754,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,5,3,19.238562,-10.638094,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,6,0,20.557701,-12.379298,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,6,1,20.990164,-11.487638,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,6,2,19.253433,-10.645306,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,6,3,18.820969,-11.536965,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,7,0,17.069366,-10.687421,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,7,1,16.636902,-11.57908,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,7,2,18.373634,-12.421412,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,7,3,18.806097,-11.529754,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,8,0,20.125237,-13.270957,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,8,1,20.557701,-12.379298,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,8,2,18.820969,-11.536965,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,8,3,18.388504,-12.428624,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,9,0,16.636902,-11.57908,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,9,1,16.204439,-12.470738,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,9,2,17.94117,-13.313071,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,9,3,18.373634,-12.421412,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,10,0,19.692772,-14.162616,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,10,1,20.125237,-13.270957,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,10,2,18.388504,-12.428624,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,10,3,17.956041,-13.320283,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,11,0,16.204439,-12.470738,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,11,1,15.771975,-13.362398,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,11,2,17.508705,-14.204731,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,11,3,17.94117,-13.313071,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,12,0,19.260309,-15.054276,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,12,1,19.692772,-14.162616,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,12,2,17.956041,-13.320283,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,12,3,17.523577,-14.211943,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,13,0,15.771975,-13.362398,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,13,1,15.33951,-14.254057,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,13,2,17.076242,-15.09639,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,13,3,17.508705,-14.204731,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,14,0,18.827845,-15.945934,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,14,1,19.260309,-15.054276,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,14,2,17.523577,-14.211943,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,14,3,17.091112,-15.103601,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,15,0,15.33951,-14.254057,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,15,1,14.907046,-15.145716,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,15,2,16.643778,-15.988049,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,15,3,17.076242,-15.09639,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,16,0,18.39538,-16.837595,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,16,1,18.827845,-15.945934,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,16,2,17.091112,-15.103601,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,16,3,16.658649,-15.99526,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,17,0,14.907046,-15.145716,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,17,1,14.474583,-16.037374,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,17,2,16.211313,-16.879707,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,17,3,16.643778,-15.988049,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,18,0,17.962917,-17.729254,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,18,1,18.39538,-16.837595,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,18,2,16.658649,-15.99526,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,18,3,16.226185,-16.886921,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,19,0,14.474583,-16.037374,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,19,1,14.042119,-16.929033,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,19,2,15.778851,-17.771366,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,19,3,16.211313,-16.879707,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,20,0,17.530453,-18.620913,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,20,1,17.962917,-17.729254,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,20,2,16.226185,-16.886921,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,20,3,15.793721,-17.77858,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,21,0,14.042119,-16.929033,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,21,1,13.609654,-17.820692,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,21,2,15.346386,-18.663025,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,21,3,15.778851,-17.771366,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,22,0,17.097988,-19.512571,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,22,1,17.530453,-18.620913,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,22,2,15.793721,-17.77858,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,22,3,15.361258,-18.670238,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,23,0,13.609654,-17.820692,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,23,1,13.177191,-18.712351,-38.395294
sin_ming,prc-00,blk-00,roof-01,PV-module,23,2,14.913922,-19.554684,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,23,3,15.346386,-18.663025,-38.735645
sin_ming,prc-00,blk-00,roof-01,PV-module,24,0,16.665525,-20.40423,-38.395294
